# timestamp x y z q0 q1 q2 q3
1311867170.462290 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1311867170.494139 -0.003816484 -0.000033439 -0.001951529 -0.000413591 0.000607112 -0.001863748 0.999997993
1311867170.526429 -0.006761313 -0.000425547 -0.002950900 -0.001206283 -0.002513437 -0.002165827 0.999993768
1311867170.562349 -0.007126505 -0.001275969 -0.005210604 -0.003208948 -0.006092265 -0.001818044 0.999974641
1311867170.594217 -0.010221525 -0.002252452 -0.006272172 -0.005116936 -0.008521679 -0.000501776 0.999950472
1311867170.626087 -0.010137353 -0.002272887 -0.009127977 -0.006097038 -0.010990411 -0.002192972 0.999918611
1311867170.662140 -0.012232802 -0.003619034 -0.011173809 -0.007107299 -0.010852088 -0.003470737 0.999909832
1311867170.694205 -0.011510198 -0.003838935 -0.012511588 -0.007809032 -0.011646733 -0.006088445 0.999883145
1311867170.726388 -0.015552277 -0.004032850 -0.013716965 -0.009161465 -0.010150768 -0.007289401 0.999879940
1311867170.762019 -0.018755530 -0.006395367 -0.014482727 -0.009178064 -0.011947159 -0.006913720 0.999862605
1311867170.794192 -0.019203332 -0.008879527 -0.017042674 -0.008713833 -0.014778695 -0.004609971 0.999842191
1311867170.826282 -0.018470990 -0.012300839 -0.019223174 -0.006556704 -0.017698989 -0.003326837 0.999816327
1311867170.862221 -0.018452533 -0.012104279 -0.020822319 -0.002806338 -0.018719183 -0.003396370 0.999815074
1311867170.894378 -0.019171764 -0.015951095 -0.025489772 -0.001007354 -0.018494081 -0.003806211 0.999821217
1311867170.926352 -0.018046149 -0.018129734 -0.028750039 0.001410833 -0.017597836 -0.005481093 0.999829127
1311867170.962147 -0.021468541 -0.021334146 -0.032073732 0.003053287 -0.016343557 -0.008073787 0.999829175
1311867170.994263 -0.022844737 -0.024050589 -0.035740246 0.003887307 -0.016924679 -0.009153846 0.999807307
1311867171.026274 -0.021482588 -0.024619518 -0.037375579 0.005445704 -0.016837098 -0.010630445 0.999786902
1311867171.062352 -0.022308321 -0.025909400 -0.040056192 0.008586484 -0.017564225 -0.012113391 0.999735483
1311867171.094235 -0.020224593 -0.028484621 -0.044056536 0.009568147 -0.018672580 -0.011258766 0.999716473
1311867171.126251 -0.020152795 -0.028100139 -0.045021263 0.011508723 -0.018969090 -0.009575729 0.999707972
1311867171.162247 -0.019895046 -0.031543611 -0.046841631 0.012331290 -0.021357687 -0.007185378 0.999670025
1311867171.194269 -0.016726958 -0.030322995 -0.049733208 0.013538354 -0.022985616 -0.004694172 0.999633102
1311867171.226253 -0.014052284 -0.032810933 -0.050937832 0.013178107 -0.021681024 -0.004782374 0.999666644
1311867171.262244 -0.008370267 -0.027826984 -0.051501210 0.015033103 -0.020022625 -0.006522269 0.999665224
1311867171.294341 -0.005206468 -0.028136585 -0.053465616 0.012690608 -0.015008909 -0.009570305 0.999761017
1311867171.326387 -0.004093235 -0.027887357 -0.053939467 0.011340770 -0.009577112 -0.013117314 0.999803782
1311867171.362246 -0.005243759 -0.025123829 -0.055624945 0.010656987 -0.005235430 -0.015738139 0.999805646
1311867171.394143 -0.006788880 -0.024415935 -0.056341407 0.007494563 -0.002638699 -0.015443053 0.999849179
1311867171.426288 -0.010016332 -0.027467009 -0.055640527 0.005733729 -0.002150308 -0.016691065 0.999841942
1311867171.462244 -0.008793595 -0.026759460 -0.059175745 0.007124290 -0.003671129 -0.019042597 0.999786551
1311867171.494404 -0.009488028 -0.027213807 -0.062572989 0.007001714 -0.002983336 -0.019313177 0.999784515
1311867171.526178 -0.012153722 -0.026503971 -0.061333656 0.007597095 -0.003081032 -0.018975294 0.999786342
1311867171.562297 -0.011601366 -0.024982981 -0.064769900 0.008702204 -0.005386475 -0.019614646 0.999755232
1311867171.594293 -0.010533736 -0.025352891 -0.065880346 0.007504149 -0.004776034 -0.020819245 0.999743685
1311867171.626340 -0.014065457 -0.027425640 -0.066275525 0.007312650 -0.003358004 -0.023251286 0.999697268
1311867171.662256 -0.015568485 -0.026436972 -0.066888585 0.008170546 -0.004115863 -0.025522618 0.999632381
1311867171.694344 -0.018031231 -0.024422244 -0.067133642 0.008724119 -0.005422973 -0.025521008 0.999621508
1311867171.726244 -0.021474853 -0.025391113 -0.067023222 0.008447098 -0.008051335 -0.024053519 0.999642562
1311867171.762119 -0.023805638 -0.026311054 -0.067066555 0.008940934 -0.010746156 -0.023136463 0.999634575
1311867171.794171 -0.024626042 -0.029048141 -0.069729218 0.009371858 -0.012808976 -0.023879679 0.999588845
1311867171.826255 -0.025339378 -0.026675227 -0.071192343 0.011181588 -0.013020885 -0.025406793 0.999529851
1311867171.862359 -0.028049418 -0.027443688 -0.071105302 0.011812460 -0.013449007 -0.026355996 0.999492347
1311867171.894443 -0.029483793 -0.025476269 -0.071884249 0.013156408 -0.016228301 -0.027107657 0.999414191
1311867171.926222 -0.031697710 -0.026067300 -0.072874598 0.012161696 -0.018257728 -0.027010532 0.999394406
1311867171.962467 -0.035031307 -0.027335625 -0.073359086 0.011032873 -0.020029904 -0.027638955 0.999356376
1311867171.994671 -0.037235768 -0.026608999 -0.074015295 0.009443101 -0.021414539 -0.029143380 0.999301210
1311867172.026268 -0.038667691 -0.026571548 -0.074248131 0.007509146 -0.023360546 -0.030060446 0.999246850
1311867172.062288 -0.043168270 -0.026179576 -0.070953718 0.005073347 -0.024431570 -0.029641927 0.999249076
1311867172.094196 -0.044834181 -0.025321690 -0.070572517 0.003395862 -0.026658442 -0.029807205 0.999194339
1311867172.126369 -0.048643010 -0.025425662 -0.070031991 0.001548451 -0.028439534 -0.028068972 0.999200144
1311867172.162335 -0.051520971 -0.024988856 -0.069660730 0.000320184 -0.030735672 -0.026245920 0.999182850
1311867172.194427 -0.054010561 -0.024633727 -0.070459560 -0.001256364 -0.033012117 -0.025349483 0.999132637
1311867172.226441 -0.056824440 -0.022640330 -0.068028805 -0.001809988 -0.034044039 -0.024797024 0.999111022
1311867172.262228 -0.055996671 -0.021893103 -0.069455160 -0.003567785 -0.035665404 -0.025151296 0.999040871
1311867172.294483 -0.062669421 -0.022158500 -0.068208990 -0.004968321 -0.033123603 -0.025858848 0.999104330
1311867172.326338 -0.066794263 -0.018864865 -0.067052770 -0.005019408 -0.032649075 -0.026260437 0.999109220
1311867172.362401 -0.067070479 -0.021004765 -0.068298537 -0.007204452 -0.034754596 -0.025914614 0.999033857
1311867172.394289 -0.072484389 -0.020364010 -0.066977999 -0.007843060 -0.035642798 -0.024908953 0.999023334
1311867172.426522 -0.078304342 -0.020677406 -0.066548619 -0.008236516 -0.036362158 -0.023835824 0.999020424
1311867172.462350 -0.077991130 -0.019689336 -0.068069011 -0.008093751 -0.038063383 -0.024656360 0.998938303
